レコード種別,親項目名,親項目インデックス,子項目名,子項目インデックス,位置,長さ
CH,本年前年累計成績情報,3,障害着回数,1,2888,6
CH,本年前年累計成績情報,3,障害着回数,2,2894,6
CH,本年前年累計成績情報,3,障害着回数,3,2900,6
CH,本年前年累計成績情報,3,障害着回数,4,2906,6
CH,本年前年累計成績情報,3,障害着回数,5,2912,6
CH,本年前年累計成績情報,3,障害着回数,6,2918,6
CH,本年前年累計成績情報,3,札幌平地着回数,1,2924,6
CH,本年前年累計成績情報,3,札幌平地着回数,2,2930,6
CH,本年前年累計成績情報,3,札幌平地着回数,3,2936,6
CH,本年前年累計成績情報,3,札幌平地着回数,4,2942,6
CH,本年前年累計成績情報,3,札幌平地着回数,5,2948,6
CH,本年前年累計成績情報,3,札幌平地着回数,6,2954,6
CH,本年前年累計成績情報,3,札幌障害着回数,1,2960,6
CH,本年前年累計成績情報,3,札幌障害着回数,2,2966,6
CH,本年前年累計成績情報,3,札幌障害着回数,3,2972,6
CH,本年前年累計成績情報,3,札幌障害着回数,4,2978,6
CH,本年前年累計成績情報,3,札幌障害着回数,5,2984,6
CH,本年前年累計成績情報,3,札幌障害着回数,6,2990,6
CH,本年前年累計成績情報,3,函館平地着回数,1,2996,6
CH,本年前年累計成績情報,3,函館平地着回数,2,3002,6
CH,本年前年累計成績情報,3,函館平地着回数,3,3008,6
CH,本年前年累計成績情報,3,函館平地着回数,4,3014,6
CH,本年前年累計成績情報,3,函館平地着回数,5,3020,6
CH,本年前年累計成績情報,3,函館平地着回数,6,3026,6
CH,本年前年累計成績情報,3,函館障害着回数,1,3032,6
CH,本年前年累計成績情報,3,函館障害着回数,2,3038,6
CH,本年前年累計成績情報,3,函館障害着回数,3,3044,6
CH,本年前年累計成績情報,3,函館障害着回数,4,3050,6
CH,本年前年累計成績情報,3,函館障害着回数,5,3056,6
CH,本年前年累計成績情報,3,函館障害着回数,6,3062,6
CH,本年前年累計成績情報,3,福島平地着回数,1,3068,6
CH,本年前年累計成績情報,3,福島平地着回数,2,3074,6
CH,本年前年累計成績情報,3,福島平地着回数,3,3080,6
CH,本年前年累計成績情報,3,福島平地着回数,4,3086,6
CH,本年前年累計成績情報,3,福島平地着回数,5,3092,6
CH,本年前年累計成績情報,3,福島平地着回数,6,3098,6
CH,本年前年累計成績情報,3,福島障害着回数,1,3104,6
CH,本年前年累計成績情報,3,福島障害着回数,2,3110,6
CH,本年前年累計成績情報,3,福島障害着回数,3,3116,6
CH,本年前年累計成績情報,3,福島障害着回数,4,3122,6
CH,本年前年累計成績情報,3,福島障害着回数,5,3128,6
CH,本年前年累計成績情報,3,福島障害着回数,6,3134,6
CH,本年前年累計成績情報,3,新潟平地着回数,1,3140,6
CH,本年前年累計成績情報,3,新潟平地着回数,2,3146,6
CH,本年前年累計成績情報,3,新潟平地着回数,3,3152,6
CH,本年前年累計成績情報,3,新潟平地着回数,4,3158,6
CH,本年前年累計成績情報,3,新潟平地着回数,5,3164,6
CH,本年前年累計成績情報,3,新潟平地着回数,6,3170,6
CH,本年前年累計成績情報,3,新潟障害着回数,1,3176,6
CH,本年前年累計成績情報,3,新潟障害着回数,2,3182,6
CH,本年前年累計成績情報,3,新潟障害着回数,3,3188,6
CH,本年前年累計成績情報,3,新潟障害着回数,4,3194,6
CH,本年前年累計成績情報,3,新潟障害着回数,5,3200,6
CH,本年前年累計成績情報,3,新潟障害着回数,6,3206,6
CH,本年前年累計成績情報,3,東京平地着回数,1,3212,6
CH,本年前年累計成績情報,3,東京平地着回数,2,3218,6
CH,本年前年累計成績情報,3,東京平地着回数,3,3224,6
CH,本年前年累計成績情報,3,東京平地着回数,4,3230,6
CH,本年前年累計成績情報,3,東京平地着回数,5,3236,6
CH,本年前年累計成績情報,3,東京平地着回数,6,3242,6
CH,本年前年累計成績情報,3,東京障害着回数,1,3248,6
CH,本年前年累計成績情報,3,東京障害着回数,2,3254,6
CH,本年前年累計成績情報,3,東京障害着回数,3,3260,6
CH,本年前年累計成績情報,3,東京障害着回数,4,3266,6
CH,本年前年累計成績情報,3,東京障害着回数,5,3272,6
CH,本年前年累計成績情報,3,東京障害着回数,6,3278,6
CH,本年前年累計成績情報,3,中山平地着回数,1,3284,6
CH,本年前年累計成績情報,3,中山平地着回数,2,3290,6
CH,本年前年累計成績情報,3,中山平地着回数,3,3296,6
CH,本年前年累計成績情報,3,中山平地着回数,4,3302,6
CH,本年前年累計成績情報,3,中山平地着回数,5,3308,6
CH,本年前年累計成績情報,3,中山平地着回数,6,3314,6
CH,本年前年累計成績情報,3,中山障害着回数,1,3320,6
CH,本年前年累計成績情報,3,中山障害着回数,2,3326,6
CH,本年前年累計成績情報,3,中山障害着回数,3,3332,6
CH,本年前年累計成績情報,3,中山障害着回数,4,3338,6
CH,本年前年累計成績情報,3,中山障害着回数,5,3344,6
CH,本年前年累計成績情報,3,中山障害着回数,6,3350,6
CH,本年前年累計成績情報,3,中京平地着回数,1,3356,6
CH,本年前年累計成績情報,3,中京平地着回数,2,3362,6
CH,本年前年累計成績情報,3,中京平地着回数,3,3368,6
CH,本年前年累計成績情報,3,中京平地着回数,4,3374,6
CH,本年前年累計成績情報,3,中京平地着回数,5,3380,6
CH,本年前年累計成績情報,3,中京平地着回数,6,3386,6
CH,本年前年累計成績情報,3,中京障害着回数,1,3392,6
CH,本年前年累計成績情報,3,中京障害着回数,2,3398,6
CH,本年前年累計成績情報,3,中京障害着回数,3,3404,6
CH,本年前年累計成績情報,3,中京障害着回数,4,3410,6
CH,本年前年累計成績情報,3,中京障害着回数,5,3416,6
CH,本年前年累計成績情報,3,中京障害着回数,6,3422,6
CH,本年前年累計成績情報,3,京都平地着回数,1,3428,6
CH,本年前年累計成績情報,3,京都平地着回数,2,3434,6
CH,本年前年累計成績情報,3,京都平地着回数,3,3440,6
CH,本年前年累計成績情報,3,京都平地着回数,4,3446,6
CH,本年前年累計成績情報,3,京都平地着回数,5,3452,6
CH,本年前年累計成績情報,3,京都平地着回数,6,3458,6
CH,本年前年累計成績情報,3,京都障害着回数,1,3464,6
CH,本年前年累計成績情報,3,京都障害着回数,2,3470,6
CH,本年前年累計成績情報,3,京都障害着回数,3,3476,6
CH,本年前年累計成績情報,3,京都障害着回数,4,3482,6
CH,本年前年累計成績情報,3,京都障害着回数,5,3488,6
CH,本年前年累計成績情報,3,京都障害着回数,6,3494,6
CH,本年前年累計成績情報,3,阪神平地着回数,1,3500,6
CH,本年前年累計成績情報,3,阪神平地着回数,2,3506,6
CH,本年前年累計成績情報,3,阪神平地着回数,3,3512,6
CH,本年前年累計成績情報,3,阪神平地着回数,4,3518,6
CH,本年前年累計成績情報,3,阪神平地着回数,5,3524,6
CH,本年前年累計成績情報,3,阪神平地着回数,6,3530,6
CH,本年前年累計成績情報,3,阪神障害着回数,1,3536,6
CH,本年前年累計成績情報,3,阪神障害着回数,2,3542,6
CH,本年前年累計成績情報,3,阪神障害着回数,3,3548,6
CH,本年前年累計成績情報,3,阪神障害着回数,4,3554,6
CH,本年前年累計成績情報,3,阪神障害着回数,5,3560,6
CH,本年前年累計成績情報,3,阪神障害着回数,6,3566,6
CH,本年前年累計成績情報,3,小倉平地着回数,1,3572,6
CH,本年前年累計成績情報,3,小倉平地着回数,2,3578,6
CH,本年前年累計成績情報,3,小倉平地着回数,3,3584,6
CH,本年前年累計成績情報,3,小倉平地着回数,4,3590,6
CH,本年前年累計成績情報,3,小倉平地着回数,5,3596,6
CH,本年前年累計成績情報,3,小倉平地着回数,6,3602,6
CH,本年前年累計成績情報,3,小倉障害着回数,1,3608,6
CH,本年前年累計成績情報,3,小倉障害着回数,2,3614,6
CH,本年前年累計成績情報,3,小倉障害着回数,3,3620,6
CH,本年前年累計成績情報,3,小倉障害着回数,4,3626,6
CH,本年前年累計成績情報,3,小倉障害着回数,5,3632,6
CH,本年前年累計成績情報,3,小倉障害着回数,6,3638,6
CH,本年前年累計成績情報,3,芝16下着回数,1,3644,6
CH,本年前年累計成績情報,3,芝16下着回数,2,3650,6
CH,本年前年累計成績情報,3,芝16下着回数,3,3656,6
CH,本年前年累計成績情報,3,芝16下着回数,4,3662,6
CH,本年前年累計成績情報,3,芝16下着回数,5,3668,6
CH,本年前年累計成績情報,3,芝16下着回数,6,3674,6
CH,本年前年累計成績情報,3,芝22下着回数,1,3680,6
CH,本年前年累計成績情報,3,芝22下着回数,2,3686,6
CH,本年前年累計成績情報,3,芝22下着回数,3,3692,6
CH,本年前年累計成績情報,3,芝22下着回数,4,3698,6
CH,本年前年累計成績情報,3,芝22下着回数,5,3704,6
CH,本年前年累計成績情報,3,芝22下着回数,6,3710,6
CH,本年前年累計成績情報,3,芝22超着回数,1,3716,6
CH,本年前年累計成績情報,3,芝22超着回数,2,3722,6
CH,本年前年累計成績情報,3,芝22超着回数,3,3728,6
CH,本年前年累計成績情報,3,芝22超着回数,4,3734,6
CH,本年前年累計成績情報,3,芝22超着回数,5,3740,6
CH,本年前年累計成績情報,3,芝22超着回数,6,3746,6
CH,本年前年累計成績情報,3,ダ16下着回数,1,3752,6
CH,本年前年累計成績情報,3,ダ16下着回数,2,3758,6
CH,本年前年累計成績情報,3,ダ16下着回数,3,3764,6
CH,本年前年累計成績情報,3,ダ16下着回数,4,3770,6
CH,本年前年累計成績情報,3,ダ16下着回数,5,3776,6
CH,本年前年累計成績情報,3,ダ16下着回数,6,3782,6
CH,本年前年累計成績情報,3,ダ22下着回数,1,3788,6
CH,本年前年累計成績情報,3,ダ22下着回数,2,3794,6
CH,本年前年累計成績情報,3,ダ22下着回数,3,3800,6
CH,本年前年累計成績情報,3,ダ22下着回数,4,3806,6
CH,本年前年累計成績情報,3,ダ22下着回数,5,3812,6
CH,本年前年累計成績情報,3,ダ22下着回数,6,3818,6
CH,本年前年累計成績情報,3,ダ22超着回数,1,3824,6
CH,本年前年累計成績情報,3,ダ22超着回数,2,3830,6
CH,本年前年累計成績情報,3,ダ22超着回数,3,3836,6
CH,本年前年累計成績情報,3,ダ22超着回数,4,3842,6
CH,本年前年累計成績情報,3,ダ22超着回数,5,3848,6
CH,本年前年累計成績情報,3,ダ22超着回数,6,3854,6
CH,レコード区切,,,,3860,2
CK,レコード種別ID,,,,0,2
CK,データ区分,,,,2,1
CK,データ作成年月日,,,,3,8
CK,開催年,,,,11,4
CK,開催月日,,,,15,4
CK,競馬場コード,,,,19,2
CK,開催回,,,,21,2
CK,開催日目,,,,23,2
CK,レース番号,,,,25,2
CK,血統登録番号,,,,27,10
CK,馬名,,,,37,36
CK,平地本賞金累計,,,,73,9
CK,障害本賞金累計,,,,82,9
CK,平地付加賞金累計,,,,91,9
CK,障害付加賞金累計,,,,100,9
CK,平地収得賞金累計,,,,109,9
CK,障害収得賞金累計,,,,118,9
CK,総合着回数,1,,,127,3
CK,総合着回数,2,,,130,3
CK,総合着回数,3,,,133,3
CK,総合着回数,4,,,136,3
CK,総合着回数,5,,,139,3
CK,総合着回数,6,,,142,3
CK,中央合計着回数,1,,,145,3
CK,中央合計着回数,2,,,148,3
CK,中央合計着回数,3,,,151,3
CK,中央合計着回数,4,,,154,3
CK,中央合計着回数,5,,,157,3
CK,中央合計着回数,6,,,160,3
CK,芝直着回数,1,,,163,3
CK,芝直着回数,2,,,166,3
CK,芝直着回数,3,,,169,3
CK,芝直着回数,4,,,172,3
CK,芝直着回数,5,,,175,3
CK,芝直着回数,6,,,178,3
CK,芝右着回数,1,,,181,3
CK,芝右着回数,2,,,184,3
CK,芝右着回数,3,,,187,3
CK,芝右着回数,4,,,190,3
CK,芝右着回数,5,,,193,3
CK,芝右着回数,6,,,196,3
CK,芝左着回数,1,,,199,3
CK,芝左着回数,2,,,202,3
CK,芝左着回数,3,,,205,3
CK,芝左着回数,4,,,208,3
CK,芝左着回数,5,,,211,3
CK,芝左着回数,6,,,214,3
CK,ダ直着回数,1,,,217,3
CK,ダ直着回数,2,,,220,3
CK,ダ直着回数,3,,,223,3
CK,ダ直着回数,4,,,226,3
CK,ダ直着回数,5,,,229,3
CK,ダ直着回数,6,,,232,3
CK,ダ右着回数,1,,,235,3
CK,ダ右着回数,2,,,238,3
CK,ダ右着回数,3,,,241,3
CK,ダ右着回数,4,,,244,3
CK,ダ右着回数,5,,,247,3
CK,ダ右着回数,6,,,250,3
CK,ダ左着回数,1,,,253,3
CK,ダ左着回数,2,,,256,3
CK,ダ左着回数,3,,,259,3
CK,ダ左着回数,4,,,262,3
CK,ダ左着回数,5,,,265,3
CK,ダ左着回数,6,,,268,3
CK,障害着回数,1,,,271,3
CK,障害着回数,2,,,274,3
CK,障害着回数,3,,,277,3
CK,障害着回数,4,,,280,3
CK,障害着回数,5,,,283,3
CK,障害着回数,6,,,286,3
CK,芝良着回数,1,,,289,3
CK,芝良着回数,2,,,292,3
CK,芝良着回数,3,,,295,3
CK,芝良着回数,4,,,298,3
CK,芝良着回数,5,,,301,3
CK,芝良着回数,6,,,304,3
CK,芝稍着回数,1,,,307,3
CK,芝稍着回数,2,,,310,3
CK,芝稍着回数,3,,,313,3
CK,芝稍着回数,4,,,316,3
CK,芝稍着回数,5,,,319,3
CK,芝稍着回数,6,,,322,3
CK,芝重着回数,1,,,325,3
CK,芝重着回数,2,,,328,3
CK,芝重着回数,3,,,331,3
CK,芝重着回数,4,,,334,3
CK,芝重着回数,5,,,337,3
CK,芝重着回数,6,,,340,3
CK,芝不着回数,1,,,343,3
CK,芝不着回数,2,,,346,3
CK,芝不着回数,3,,,349,3
CK,芝不着回数,4,,,352,3
CK,芝不着回数,5,,,355,3
CK,芝不着回数,6,,,358,3
CK,ダ良着回数,1,,,361,3
CK,ダ良着回数,2,,,364,3
CK,ダ良着回数,3,,,367,3
CK,ダ良着回数,4,,,370,3
CK,ダ良着回数,5,,,373,3
CK,ダ良着回数,6,,,376,3
CK,ダ稍着回数,1,,,379,3
CK,ダ稍着回数,2,,,382,3
CK,ダ稍着回数,3,,,385,3
CK,ダ稍着回数,4,,,388,3
CK,ダ稍着回数,5,,,391,3
CK,ダ稍着回数,6,,,394,3
CK,ダ重着回数,1,,,397,3
CK,ダ重着回数,2,,,400,3
CK,ダ重着回数,3,,,403,3
CK,ダ重着回数,4,,,406,3
CK,ダ重着回数,5,,,409,3
CK,ダ重着回数,6,,,412,3
CK,ダ不着回数,1,,,415,3
CK,ダ不着回数,2,,,418,3
CK,ダ不着回数,3,,,421,3
CK,ダ不着回数,4,,,424,3
CK,ダ不着回数,5,,,427,3
CK,ダ不着回数,6,,,430,3
CK,障良着回数,1,,,433,3
CK,障良着回数,2,,,436,3
CK,障良着回数,3,,,439,3
CK,障良着回数,4,,,442,3
CK,障良着回数,5,,,445,3
CK,障良着回数,6,,,448,3
CK,障稍着回数,1,,,451,3
CK,障稍着回数,2,,,454,3
CK,障稍着回数,3,,,457,3
CK,障稍着回数,4,,,460,3
CK,障稍着回数,5,,,463,3
CK,障稍着回数,6,,,466,3
CK,障重着回数,1,,,469,3
CK,障重着回数,2,,,472,3
CK,障重着回数,3,,,475,3
CK,障重着回数,4,,,478,3
CK,障重着回数,5,,,481,3
CK,障重着回数,6,,,484,3
CK,障不着回数,1,,,487,3
CK,障不着回数,2,,,490,3
CK,障不着回数,3,,,493,3
CK,障不着回数,4,,,496,3
CK,障不着回数,5,,,499,3
CK,障不着回数,6,,,502,3
CK,芝1200以下着回数,1,,,505,3
CK,芝1200以下着回数,2,,,508,3
CK,芝1200以下着回数,3,,,511,3
CK,芝1200以下着回数,4,,,514,3
CK,芝1200以下着回数,5,,,517,3
CK,芝1200以下着回数,6,,,520,3
CK,芝1201～1400着回数,1,,,523,3
CK,芝1201～1400着回数,2,,,526,3
CK,芝1201～1400着回数,3,,,529,3
CK,芝1201～1400着回数,4,,,532,3
CK,芝1201～1400着回数,5,,,535,3
CK,芝1201～1400着回数,6,,,538,3
CK,芝1401～1600着回数,1,,,541,3
CK,芝1401～1600着回数,2,,,544,3
CK,芝1401～1600着回数,3,,,547,3
CK,芝1401～1600着回数,4,,,550,3
CK,芝1401～1600着回数,5,,,553,3
CK,芝1401～1600着回数,6,,,556,3
CK,芝1601～1800着回数,1,,,559,3
CK,芝1601～1800着回数,2,,,562,3
CK,芝1601～1800着回数,3,,,565,3
CK,芝1601～1800着回数,4,,,568,3
CK,芝1601～1800着回数,5,,,571,3
CK,芝1601～1800着回数,6,,,574,3
CK,芝1801～2000着回数,1,,,577,3
CK,芝1801～2000着回数,2,,,580,3
CK,芝1801～2000着回数,3,,,583,3
CK,芝1801～2000着回数,4,,,586,3
CK,芝1801～2000着回数,5,,,589,3
CK,芝1801～2000着回数,6,,,592,3
CK,芝2001～2200着回数,1,,,595,3
CK,芝2001～2200着回数,2,,,598,3
